Title,SubTitle,
Log Mag S22,,
Parameter Name,Setting,
Resolution:,701,
CAL:,ON (X),
Dither: ,OFF,
IFBW:,200 Hz,
Smoothing %: ,OFF,
Date:,26-Oct-23,
Time:,12:17:33,
Model:,MS2028C,
Serial:,1435036,
Prop.Vel:,1,
Marker Data,,
Marker,Frequency(MHz),Value
Limit Off,,
Point Data,,
Frequency(MHz),Log Mag S22,
1000,4.899875077,
1015.714286,4.469733066,
1031.428571,1.398912184,
1047.142857,8.971634335,
1062.857143,7.148288378,
1078.571429,6.910934465,
1094.285714,8.270240549,
1110,2.212877011,
1125.714286,6.991799401,
1141.428571,7.345335329,
1157.142857,8.49604279,
1172.857143,5.333234096,
1188.571429,8.031834669,
1204.285714,4.326690729,
1220,3.566749309,
1235.714286,8.567555599,
1251.428571,1.822137221,
1267.142857,6.077485261,
1282.857143,5.935459785,
1298.571429,5.570961543,
1314.285714,2.501880935,
1330,2.61025686,
1345.714286,7.009719102,
1361.428571,1.246832598,
1377.142857,7.922090487,
1392.857143,7.207449888,
1408.571429,3.171701285,
1424.285714,2.663657054,
1440,3.139467306,
1455.714286,8.111889161,
1471.428571,5.340532207,
1487.142857,3.751692657,
1502.857143,7.560129661,
1518.571429,1.988113719,
1534.285714,7.007510342,
1550,6.22478261,
1565.714286,1.222677226,
1581.428571,1.646136967,
1597.142857,6.579208611,
1612.857143,2.145670889,
1628.571429,2.903911198,
1644.285714,9.816106231,
1660,7.939901496,
1675.714286,9.930101515,
1691.428571,2.116453627,
1707.142857,6.591106077,
1722.857143,9.437125559,
1738.571429,6.97055624,
1754.285714,6.071014919,
1770,7.802668677,
1785.714286,2.685035933,
1801.428571,1.653432723,
1817.142857,6.837409286,
1832.857143,6.57935599,
1848.571429,3.528296376,
1864.285714,5.953829767,
1880,2.450580928,
1895.714286,1.311522708,
1911.428571,3.554916963,
1927.142857,2.718376525,
1942.857143,2.822633959,
1958.571429,8.427920831,
1974.285714,9.246567572,
1990,2.880161814,
2005.714286,1.153870555,
2021.428571,9.150513754,
2037.142857,8.64848517,
2052.857143,6.541621163,
2068.571429,1.787813185,
2084.285714,4.650710315,
2100,3.954692418,
2115.714286,6.027960899,
2131.428571,3.427968361,
2147.142857,4.215358725,
2162.857143,7.10066482,
2178.571429,5.184325131,
2194.285714,9.112790566,
2210,8.210495929,
2225.714286,7.336164552,
2241.428571,3.467505145,
2257.142857,5.174457262,
2272.857143,2.655213986,
2288.571429,8.467665747,
2304.285714,1.532400004,
2320,6.248115513,
2335.714286,8.118113849,
2351.428571,5.742894848,
2367.142857,3.438734027,
2382.857143,2.794550656,
2398.571429,8.086315513,
2414.285714,7.572978343,
2430,7.29608977,
2445.714286,5.117278703,
2461.428571,4.724712214,
2477.142857,2.589759258,
2492.857143,9.835563775,
2508.571429,6.573461722,
2524.285714,3.10672338,
2540,3.167251179,
2555.714286,1.634356607,
2571.428571,4.029990511,
2587.142857,6.844358995,
2602.857143,1.833027931,
2618.571429,9.993719002,
2634.285714,9.323135913,
2650,5.836893196,
2665.714286,1.632487766,
2681.428571,2.881695467,
2697.142857,8.758939618,
2712.857143,7.62226964,
2728.571429,2.915246396,
2744.285714,7.991195588,
2760,8.015366926,
2775.714286,3.539542663,
2791.428571,4.390343465,
2807.142857,5.115466821,
2822.857143,2.035671984,
2838.571429,7.309984462,
2854.285714,4.775733494,
2870,5.255408959,
2885.714286,2.089511171,
2901.428571,7.660710653,
2917.142857,5.545189754,
2932.857143,8.964804299,
2948.571429,1.368213202,
2964.285714,6.470477015,
2980,7.698207379,
2995.714286,5.219932533,
3011.428571,2.317928433,
3027.142857,2.613849797,
3042.857143,2.93822705,
3058.571429,5.415898526,
3074.285714,3.316741211,
3090,6.316980242,
3105.714286,5.374587435,
3121.428571,2.550984168,
3137.142857,6.066853021,
3152.857143,6.25700684,
3168.571429,2.311676572,
3184.285714,5.612773196,
3200,9.363807637,
3215.714286,4.425233829,
3231.428571,7.284976093,
3247.142857,5.731726811,
3262.857143,6.351559497,
3278.571429,8.846639674,
3294.285714,3.535790855,
3310,7.109332254,
3325.714286,2.39587519,
3341.428571,2.871104267,
3357.142857,3.418964255,
3372.857143,7.653499728,
3388.571429,8.292175691,
3404.285714,7.222461848,
3420,7.438637596,
3435.714286,5.26435323,
3451.428571,9.651643002,
3467.142857,2.392669129,
3482.857143,2.01657344,
3498.571429,5.975681787,
3514.285714,1.112449254,
3530,3.484206142,
3545.714286,8.396925262,
3561.428571,6.702146146,
3577.142857,3.724515314,
3592.857143,8.845063007,
3608.571429,7.585521427,
3624.285714,6.997450218,
3640,1.873492725,
3655.714286,9.657810734,
3671.428571,7.760487874,
3687.142857,9.268923261,
3702.857143,1.667954765,
3718.571429,4.88331911,
3734.285714,4.071357815,
3750,8.842582107,
3765.714286,1.400660658,
3781.428571,8.755778246,
3797.142857,6.402072296,
3812.857143,3.097766491,
3828.571429,9.853170333,
3844.285714,4.453053646,
3860,2.839247002,
3875.714286,4.23631674,
3891.428571,6.871861769,
3907.142857,1.538956358,
3922.857143,4.728157571,
3938.571429,3.621174617,
3954.285714,1.816510787,
3970,4.25713958,
3985.714286,6.519280158,
4001.428571,5.802722418,
4017.142857,6.086726567,
4032.857143,9.260001299,
4048.571429,9.113907769,
4064.285714,7.044594873,
4080,7.07619798,
4095.714286,7.347177348,
4111.428571,7.927473337,
4127.142857,5.406904693,
4142.857143,9.424110075,
4158.571429,8.28056695,
4174.285714,9.439942946,
4190,5.106894345,
4205.714286,3.068467593,
4221.428571,7.359540343,
4237.142857,1.333993481,
4252.857143,4.408261434,
4268.571429,4.779428627,
4284.285714,7.473072925,
4300,3.653038982,
4315.714286,2.580504317,
4331.428571,7.877757356,
4347.142857,2.426530477,
4362.857143,6.57935625,
4378.571429,4.953015896,
4394.285714,5.559473014,
4410,1.377126966,
4425.714286,3.31077754,
4441.428571,2.924603418,
4457.142857,7.277130575,
4472.857143,8.115246742,
4488.571429,7.25543405,
4504.285714,2.96718944,
4520,4.708991847,
4535.714286,4.780545619,
4551.428571,3.976119006,
4567.142857,6.857972422,
4582.857143,4.234626807,
4598.571429,1.483665628,
4614.285714,3.109714532,
4630,1.626207927,
4645.714286,5.799759573,
4661.428571,3.328352126,
4677.142857,3.967980187,
4692.857143,8.875464946,
4708.571429,7.516183668,
4724.285714,4.375737225,
4740,3.129659641,
4755.714286,3.682593402,
4771.428571,5.060791731,
4787.142857,7.565797206,
4802.857143,5.409397445,
4818.571429,7.622338738,
4834.285714,9.444321317,
4850,8.323851099,
4865.714286,6.664737836,
4881.428571,4.155773384,
4897.142857,8.923429882,
4912.857143,8.580816959,
4928.571429,9.314157328,
4944.285714,2.243443491,
4960,9.080041148,
4975.714286,9.597693483,
4991.428571,5.785645679,
5007.142857,3.305723178,
5022.857143,5.275413437,
5038.571429,8.526860218,
5054.285714,9.632881641,
5070,8.519030117,
5085.714286,3.406096709,
5101.428571,9.942525633,
5117.142857,3.511512691,
5132.857143,5.960464024,
5148.571429,6.099318717,
5164.285714,9.521433357,
5180,4.768975744,
5195.714286,9.707852662,
5211.428571,3.585710299,
5227.142857,1.551845781,
5242.857143,8.848614706,
5258.571429,9.408674588,
5274.285714,4.826564065,
5290,8.982868211,
5305.714286,2.208613467,
5321.428571,6.492551856,
5337.142857,2.755571611,
5352.857143,1.537871396,
5368.571429,9.835504783,
5384.285714,8.703358022,
5400,3.006045125,
5415.714286,2.085915395,
5431.428571,2.29791135,
5447.142857,4.592685474,
5462.857143,6.736439496,
5478.571429,7.212919049,
5494.285714,4.929995351,
5510,1.157378288,
5525.714286,2.652441575,
5541.428571,2.061027746,
5557.142857,2.738189764,
5572.857143,4.080844826,
5588.571429,2.185497985,
5604.285714,8.688441603,
5620,3.28920964,
5635.714286,4.101603457,
5651.428571,5.487555659,
